[1/1319] pred=6 | gold=18 | X
[2/1319] pred=1.5 | gold=3 | X
[3/1319] pred=125000 | gold=70000 | X
[4/1319] pred=1620 | gold=540 | X
[5/1319] pred=5 | gold=20 | X
[6/1319] pred=45 | gold=64 | X
[7/1319] pred=40 | gold=260 | X
[8/1319] pred=0.78125 | gold=160 | X
[9/1319] pred=0 | gold=45 | X
[10/1319] pred=11.25 | gold=460 | X
[11/1319] pred=390 | gold=366 | X
[12/1319] pred=694 | gold=694 | O
[13/1319] pred=70 | gold=13 | X
[14/1319] pred=2 | gold=18 | X
[15/1319] pred=20 | gold=60 | X
[16/1319] pred=1.3 | gold=125 | X
[17/1319] pred=230 | gold=230 | O
[18/1319] pred=1780 | gold=57500 | X
[19/1319] pred=3 | gold=7 | X
[20/1319] pred=4 | gold=6 | X
[21/1319] pred=12.96 | gold=15 | X
[22/1319] pred=17 | gold=14 | X
[23/1319] pred=8 | gold=7 | X
[24/1319] pred=2 | gold=8 | X
[25/1319] pred=24.125 | gold=26 | X
[26/1319] pred=106 | gold=2 | X
[27/1319] pred=79.50 | gold=243 | X
[28/1319] pred=900 | gold=16 | X
[29/1319] pred=35 | gold=25 | X
[30/1319] pred=66 | gold=104 | X
[31/1319] pred=63 | gold=109 | X
[32/1319] pred=305 | gold=80 | X
[33/1319] pred=1 | gold=35 | X
[34/1319] pred=110 | gold=70 | X
[35/1319] pred=3 | gold=23 | X
[36/1319] pred=11 | gold=9 | X
[37/1319] pred=600 | gold=75 | X
[38/1319] pred=35 | gold=2 | X
[39/1319] pred=30 | gold=10 | X
[40/1319] pred=16 | gold=18 | X
[41/1319] pred=16 | gold=8 | X
[42/1319] pred=1200 | gold=200 | X
[43/1319] pred=26 | gold=26 | O
[44/1319] pred=200 | gold=48 | X
[45/1319] pred=100 | gold=20 | X
[46/1319] pred=16 | gold=104 | X
[47/1319] pred=277 | gold=163 | X
[48/1319] pred=160 | gold=800 | X
[49/1319] pred=0.666666666666667 | gold=8 | X
[50/1319] pred=30 | gold=30 | O
[51/1319] pred=504 | gold=294 | X
[52/1319] pred=6.67 | gold=5 | X
[53/1319] pred=1 | gold=15 | X
[54/1319] pred=360 | gold=40 | X
[55/1319] pred=33 | gold=40 | X
[56/1319] pred=28 | gold=14 | X
[57/1319] pred=6 | gold=3 | X
[58/1319] pred=245 | gold=83 | X
[59/1319] pred=90 | gold=57 | X
[60/1319] pred=1267 | gold=187 | X
[61/1319] pred=1 | gold=17 | X
[62/1319] pred=1380 | gold=1430 | X
[63/1319] pred=637 | gold=25000 | X
[64/1319] pred=133 | gold=1596 | X
[65/1319] pred=25 | gold=300 | X
[66/1319] pred=26 | gold=36 | X
[67/1319] pred=24 | gold=48 | X
[68/1319] pred=210 | gold=595 | X
[69/1319] pred=35 | gold=36 | X
[70/1319] pred=60 | gold=60 | O
[71/1319] pred=1125 | gold=7425 | X
[72/1319] pred=40 | gold=60 | X
[73/1319] pred=224 | gold=221 | X
[74/1319] pred=2295 | gold=255 | X
[75/1319] pred=83.19 | gold=88 | X
[76/1319] pred=4 | gold=60 | X
[77/1319] pred=183 | gold=5 | X
[78/1319] pred=27.5 | gold=100 | X
[79/1319] pred=18 | gold=6 | X
[80/1319] pred=70 | gold=70 | O
[81/1319] pred=20 | gold=10 | X
[82/1319] pred=17 | gold=17 | O
[83/1319] pred=625 | gold=623 | X
[84/1319] pred=600 | gold=600 | O
[85/1319] pred=14 | gold=15 | X
[86/1319] pred=368 | gold=44 | X
[87/1319] pred=9 | gold=22 | X
[88/1319] pred=696 | gold=9360 | X
[89/1319] pred=102000 | gold=8000 | X
[90/1319] pred=24 | gold=24 | O
[91/1319] pred=250 | gold=225 | X
[92/1319] pred=12 | gold=28 | X
[93/1319] pred=9 | gold=4 | X
[94/1319] pred=48 | gold=36 | X
[95/1319] pred=120 | gold=348 | X
[96/1319] pred=127 | gold=40 | X
[97/1319] pred=0 | gold=3 | X
[98/1319] pred=24 | gold=12 | X
[99/1319] pred=15 | gold=5 | X
[100/1319] pred=1 | gold=58 | X
[101/1319] pred=107 | gold=175 | X
[102/1319] pred=39 | gold=6 | X
[103/1319] pred=30 | gold=26 | X
[104/1319] pred=14 | gold=140 | X
[105/1319] pred=337 | gold=500 | X
[106/1319] pred=20 | gold=20 | O
[107/1319] pred=360 | gold=72 | X
[108/1319] pred=1 | gold=3 | X
[109/1319] pred=125 | gold=50 | X
[110/1319] pred=27.2 | gold=28 | X
[111/1319] pred=90 | gold=45 | X
[112/1319] pred=3.125 | gold=16 | X
[113/1319] pred=24 | gold=24 | O
[114/1319] pred=60 | gold=25 | X
[115/1319] pred=1800 | gold=6 | X
[116/1319] pred=400 | gold=90 | X
[117/1319] pred=9 | gold=42 | X
[118/1319] pred=180 | gold=360 | X
[119/1319] pred=20 | gold=4 | X
[120/1319] pred=130 | gold=95200 | X
[121/1319] pred=240 | gold=240 | O
[122/1319] pred=26 | gold=27 | X
[123/1319] pred=6 | gold=48 | X
[124/1319] pred=35 | gold=50 | X
[125/1319] pred=40 | gold=10 | X
[126/1319] pred=23 | gold=10 | X
[127/1319] pred=63 | gold=82 | X
[128/1319] pred=120 | gold=120 | O
[129/1319] pred=75 | gold=880 | X
[130/1319] pred=0.87 | gold=10000 | X
[131/1319] pred=10 | gold=30 | X
[132/1319] pred=820 | gold=940 | X
[133/1319] pred=12 | gold=60 | X
[134/1319] pred=17 | gold=13 | X
[135/1319] pred=10800 | gold=720 | X
[136/1319] pred=45 | gold=40 | X
[137/1319] pred=9 | gold=6 | X
[138/1319] pred=26.6 | gold=29 | X
[139/1319] pred=0 | gold=105 | X
[140/1319] pred=40 | gold=70 | X
[141/1319] pred=0.2 | gold=20 | X
[142/1319] pred=350 | gold=400 | X
[143/1319] pred=239.9999999999999 | gold=140 | X
[144/1319] pred=16.2 | gold=16 | X
[145/1319] pred=82 | gold=20 | X
[146/1319] pred=3 | gold=4000 | X
[147/1319] pred=1625 | gold=2125 | X
[148/1319] pred=2 | gold=75 | X
[149/1319] pred=2 | gold=30 | X
[150/1319] pred=12 | gold=16 | X
[151/1319] pred=0.008 | gold=4 | X
[152/1319] pred=225 | gold=5 | X
[153/1319] pred=40 | gold=4 | X
[154/1319] pred=1 | gold=48 | X
[155/1319] pred=18 | gold=272 | X
[156/1319] pred=240 | gold=280 | X
[157/1319] pred=700 | gold=1400 | X
[158/1319] pred=100 | gold=80 | X
[159/1319] pred=54 | gold=34 | X
[160/1319] pred=5 | gold=15 | X
[161/1319] pred=8 | gold=16 | X
[162/1319] pred=21 | gold=32 | X
[163/1319] pred=20 | gold=92 | X
[164/1319] pred=60 | gold=50 | X
[165/1319] pred=0 | gold=15 | X
[166/1319] pred=379 | gold=77 | X
[167/1319] pred=30 | gold=5 | X
[168/1319] pred=38 | gold=16 | X
[169/1319] pred=12 | gold=18 | X
[170/1319] pred=30 | gold=120 | X
[171/1319] pred=137.5 | gold=150 | X
[172/1319] pred=1470 | gold=1210 | X
[173/1319] pred=3 | gold=51 | X
[174/1319] pred=1500 | gold=18000 | X
[175/1319] pred=42 | gold=95 | X
[176/1319] pred=375 | gold=15 | X
[177/1319] pred=100 | gold=100 | O
[178/1319] pred=3600 | gold=350 | X
[179/1319] pred=90 | gold=122 | X
[180/1319] pred=20.8 | gold=130 | X
[181/1319] pred=1 | gold=20 | X
[182/1319] pred=2000 | gold=160 | X
[183/1319] pred=5 | gold=23 | X
[184/1319] pred=5 | gold=2 | X
[185/1319] pred=1 | gold=25 | X
[186/1319] pred=10 | gold=30 | X
[187/1319] pred=0.125 | gold=5 | X
[188/1319] pred=10 | gold=106 | X
[189/1319] pred=20 | gold=50 | X
[190/1319] pred=30.25 | gold=34 | X
[191/1319] pred=3 | gold=360 | X
[192/1319] pred=0.5 | gold=5 | X
[193/1319] pred=15 | gold=91 | X
[194/1319] pred=36 | gold=24 | X
[195/1319] pred=18 | gold=10 | X
[196/1319] pred=1 | gold=12 | X
[197/1319] pred=5 | gold=120 | X
[198/1319] pred=16377 | gold=6277 | X
[199/1319] pred=180 | gold=320 | X
[200/1319] pred=10000 | gold=7500 | X
[201/1319] pred=22 | gold=55 | X
[202/1319] pred=1094000 | gold=114200 | X
[203/1319] pred=100 | gold=100 | O
[204/1319] pred=13 | gold=31 | X
[205/1319] pred=16 | gold=98 | X
[206/1319] pred=22 | gold=98 | X
[207/1319] pred=500 | gold=860 | X
[208/1319] pred=8400 | gold=2600 | X
[209/1319] pred=36 | gold=76 | X
[210/1319] pred=1200 | gold=145 | X
[211/1319] pred=40 | gold=10 | X
[212/1319] pred=336 | gold=4 | X
[213/1319] pred=3 | gold=5 | X
[214/1319] pred=300 | gold=250 | X
[215/1319] pred=8 | gold=8 | O
[216/1319] pred=352 | gold=44 | X
[217/1319] pred=1175 | gold=220 | X
[218/1319] pred=11 | gold=15 | X
[219/1319] pred=76 | gold=45 | X
[220/1319] pred=10 | gold=54 | X
[221/1319] pred=28 | gold=70 | X
[222/1319] pred=75 | gold=90 | X
[223/1319] pred=2.69 | gold=140 | X
[224/1319] pred=16666 | gold=20000 | X
[225/1319] pred=180 | gold=180 | O
[226/1319] pred=3 | gold=9 | X
[227/1319] pred=5 | gold=33 | X
[228/1319] pred=8.50 | gold=9 | X
[229/1319] pred=360 | gold=1 | X
[230/1319] pred=9 | gold=21 | X
[231/1319] pred=36000 | gold=276000 | X
[232/1319] pred=50 | gold=50 | O
